Name : nobita đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 16991 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 16891 và 100|| Thời gian tách : 2022-06-08 00:18:46
Name : namkonapxu đã tách vật phẩm || Vật phẩm tách: 778 || Số lượng vật phẩm ban đầu 9802 || Số lượng tách: 802 || Số lượng vật phẩm sau khi tách: 9000 và 802|| Thời gian tách : 2022-06-08 00:43:47
Name : nobita đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 975 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 875 và 100|| Thời gian tách : 2022-06-08 00:48:35
Name : nobita đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 873 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 773 và 100|| Thời gian tách : 2022-06-08 00:50:15
Name : nobita đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 766 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 666 và 100|| Thời gian tách : 2022-06-08 00:54:49
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 778 || Số lượng vật phẩm ban đầu 10000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 9000 và 1000|| Thời gian tách : 2022-06-08 01:38:32
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 780 || Số lượng vật phẩm ban đầu 968 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 948 và 20|| Thời gian tách : 2022-06-08 01:39:44
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 438 || Số lượng vật phẩm ban đầu 696 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 695 và 1|| Thời gian tách : 2022-06-08 01:46:59
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19948 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 19947 và 1|| Thời gian tách : 2022-06-08 01:50:04
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19947 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 19946 và 1|| Thời gian tách : 2022-06-08 01:50:08
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19946 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 19945 và 1|| Thời gian tách : 2022-06-08 01:50:12
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19945 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 19944 và 1|| Thời gian tách : 2022-06-08 01:50:19
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19944 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 19943 và 1|| Thời gian tách : 2022-06-08 01:50:24
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19943 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 19942 và 1|| Thời gian tách : 2022-06-08 01:50:27
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19942 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 19941 và 1|| Thời gian tách : 2022-06-08 01:50:36
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19941 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 19940 và 1|| Thời gian tách : 2022-06-08 01:50:40
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19940 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 19939 và 1|| Thời gian tách : 2022-06-08 01:50:44
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19939 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 19938 và 1|| Thời gian tách : 2022-06-08 01:50:48
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19938 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 19937 và 1|| Thời gian tách : 2022-06-08 01:50:52
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19937 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 19936 và 1|| Thời gian tách : 2022-06-08 01:50:56
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19936 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 19935 và 1|| Thời gian tách : 2022-06-08 01:51:00
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19935 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 19934 và 1|| Thời gian tách : 2022-06-08 01:51:04
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19934 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 19933 và 1|| Thời gian tách : 2022-06-08 01:51:08
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19933 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 19932 và 1|| Thời gian tách : 2022-06-08 01:51:12
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19932 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 19931 và 1|| Thời gian tách : 2022-06-08 01:51:16
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19931 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 19930 và 1|| Thời gian tách : 2022-06-08 01:51:19
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19930 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 19929 và 1|| Thời gian tách : 2022-06-08 01:51:25
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19929 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 19927 và 2|| Thời gian tách : 2022-06-08 01:51:30
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 20000 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 19900 và 100|| Thời gian tách : 2022-06-08 01:52:15
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 19900 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 19800 và 100|| Thời gian tách : 2022-06-08 01:52:20
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 19800 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 19700 và 100|| Thời gian tách : 2022-06-08 01:52:24
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 19700 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 19600 và 100|| Thời gian tách : 2022-06-08 01:52:29
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 19600 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 19500 và 100|| Thời gian tách : 2022-06-08 01:52:34
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 19500 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 19400 và 100|| Thời gian tách : 2022-06-08 01:52:38
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 19400 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 19300 và 100|| Thời gian tách : 2022-06-08 01:52:42
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 19300 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 19200 và 100|| Thời gian tách : 2022-06-08 01:52:46
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 19200 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 19100 và 100|| Thời gian tách : 2022-06-08 01:52:50
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 20000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 19000 và 1000|| Thời gian tách : 2022-06-08 01:52:56
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 19000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 18000 và 1000|| Thời gian tách : 2022-06-08 01:53:01
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 18000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 17000 và 1000|| Thời gian tách : 2022-06-08 01:53:06
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 17000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 16000 và 1000|| Thời gian tách : 2022-06-08 01:53:10
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 16000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 15000 và 1000|| Thời gian tách : 2022-06-08 01:53:14
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 15000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 14000 và 1000|| Thời gian tách : 2022-06-08 01:53:21
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 14000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 13000 và 1000|| Thời gian tách : 2022-06-08 01:53:25
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 13000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 12000 và 1000|| Thời gian tách : 2022-06-08 01:53:29
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 12000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 11000 và 1000|| Thời gian tách : 2022-06-08 01:53:33
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 11000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 10000 và 1000|| Thời gian tách : 2022-06-08 01:53:39
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 20000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 19000 và 1000|| Thời gian tách : 2022-06-08 01:53:47
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 19000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 18000 và 1000|| Thời gian tách : 2022-06-08 01:53:51
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 18000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 17000 và 1000|| Thời gian tách : 2022-06-08 01:53:55
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 17000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 16000 và 1000|| Thời gian tách : 2022-06-08 01:53:59
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 16000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 15000 và 1000|| Thời gian tách : 2022-06-08 01:54:05
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 15000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 14000 và 1000|| Thời gian tách : 2022-06-08 01:54:10
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 14000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 13000 và 1000|| Thời gian tách : 2022-06-08 01:54:14
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 13000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 12000 và 1000|| Thời gian tách : 2022-06-08 01:54:21
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 12000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 11000 và 1000|| Thời gian tách : 2022-06-08 01:54:25
Name : cuopboss đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 11000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 10000 và 1000|| Thời gian tách : 2022-06-08 01:54:30
Name : namdangiu đã tách vật phẩm || Vật phẩm tách: 947 || Số lượng vật phẩm ban đầu 19693 || Số lượng tách: 10000 || Số lượng vật phẩm sau khi tách: 9693 và 10000|| Thời gian tách : 2022-06-08 01:56:16
Name : namdangiu đã tách vật phẩm || Vật phẩm tách: 947 || Số lượng vật phẩm ban đầu 16884 || Số lượng tách: 8000 || Số lượng vật phẩm sau khi tách: 8884 và 8000|| Thời gian tách : 2022-06-08 01:59:58
Name : namdangiu đã tách vật phẩm || Vật phẩm tách: 947 || Số lượng vật phẩm ban đầu 16754 || Số lượng tách: 8000 || Số lượng vật phẩm sau khi tách: 8754 và 8000|| Thời gian tách : 2022-06-08 02:00:13
Name : namdangiu đã tách vật phẩm || Vật phẩm tách: 947 || Số lượng vật phẩm ban đầu 14210 || Số lượng tách: 7000 || Số lượng vật phẩm sau khi tách: 7210 và 7000|| Thời gian tách : 2022-06-08 02:03:55
Name : namdangiu đã tách vật phẩm || Vật phẩm tách: 947 || Số lượng vật phẩm ban đầu 11457 || Số lượng tách: 6000 || Số lượng vật phẩm sau khi tách: 5457 và 6000|| Thời gian tách : 2022-06-08 02:09:39
Name : namdangiu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19882 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 19881 và 1|| Thời gian tách : 2022-06-08 02:29:56
