Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 540 || Số lượng vật phẩm ban đầu 189 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 188 và 1|| Thời gian tách : 2022-06-11 00:38:23
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 540 || Số lượng vật phẩm ban đầu 188 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 187 và 1|| Thời gian tách : 2022-06-11 00:38:24
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 540 || Số lượng vật phẩm ban đầu 187 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 186 và 1|| Thời gian tách : 2022-06-11 00:38:26
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 540 || Số lượng vật phẩm ban đầu 186 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 185 và 1|| Thời gian tách : 2022-06-11 00:38:28
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 540 || Số lượng vật phẩm ban đầu 185 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 184 và 1|| Thời gian tách : 2022-06-11 00:38:31
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 540 || Số lượng vật phẩm ban đầu 184 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 183 và 1|| Thời gian tách : 2022-06-11 00:38:40
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 540 || Số lượng vật phẩm ban đầu 183 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 182 và 1|| Thời gian tách : 2022-06-11 00:38:42
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 540 || Số lượng vật phẩm ban đầu 182 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 181 và 1|| Thời gian tách : 2022-06-11 00:38:45
Name : chaphetbonngu đã tách vật phẩm || Vật phẩm tách: 778 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 4 || Số lượng vật phẩm sau khi tách: 1 và 4|| Thời gian tách : 2022-06-11 00:57:08
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 540 || Số lượng vật phẩm ban đầu 181 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 180 và 1|| Thời gian tách : 2022-06-11 01:04:06
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 540 || Số lượng vật phẩm ban đầu 180 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 179 và 1|| Thời gian tách : 2022-06-11 01:04:08
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 540 || Số lượng vật phẩm ban đầu 179 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 178 và 1|| Thời gian tách : 2022-06-11 01:04:13
Name : sartarhiv đã tách vật phẩm || Vật phẩm tách: 540 || Số lượng vật phẩm ban đầu 178 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 177 và 1|| Thời gian tách : 2022-06-11 01:04:16
